strike_price_K,probability_p,bestAsk,bestBid,lastTradePrice,expiry_date,slug,polymarket_url,updatedAt
78000.0,0.9995,1,0.999,0.999,2026-01-07,bitcoin-above-78k-on-january-7,https://polymarket.com/event/bitcoin-above-on-january-7,2026-01-05T19:23:24.7367Z
80000.0,0.9984999999999999,0.999,0.998,0.999,2026-01-07,bitcoin-above-80k-on-january-7,https://polymarket.com/event/bitcoin-above-on-january-7,2026-01-05T19:22:16.378861Z
98000.0,0.1175,0.127,0.108,0.115,2026-01-07,bitcoin-above-98k-on-january-7,https://polymarket.com/event/bitcoin-above-on-january-7,2026-01-05T19:24:47.111391Z
82000.0,0.0025,0.004,0.001,0.029,2026-01-07,will-the-price-of-bitcoin-be-between-82000-84000-on-january-7,https://polymarket.com/event/bitcoin-price-on-january-7,2026-01-05T19:22:13.424868Z
84000.0,0.004,0.006,0.002,0.05,2026-01-07,will-the-price-of-bitcoin-be-between-84000-86000-on-january-7,https://polymarket.com/event/bitcoin-price-on-january-7,2026-01-05T19:25:16.008546Z
86000.0,0.021,0.032,0.01,0.1,2026-01-07,will-the-price-of-bitcoin-be-between-86000-88000-on-january-7,https://polymarket.com/event/bitcoin-price-on-january-7,2026-01-05T19:25:24.451695Z
88000.0,0.055,0.06,0.05,0.08,2026-01-07,will-the-price-of-bitcoin-be-between-88000-90000-on-january-7,https://polymarket.com/event/bitcoin-price-on-january-7,2026-01-05T19:25:24.294963Z
90000.0,0.14500000000000002,0.16,0.13,0.13,2026-01-07,will-the-price-of-bitcoin-be-between-90000-92000-on-january-7,https://polymarket.com/event/bitcoin-price-on-january-7,2026-01-05T19:22:20.694756Z
92000.0,0.25,0.26,0.24,0.24,2026-01-07,will-the-price-of-bitcoin-be-between-92000-94000-on-january-7,https://polymarket.com/event/bitcoin-price-on-january-7,2026-01-05T19:25:04.044037Z
94000.0,0.26,0.28,0.24,0.28,2026-01-07,will-the-price-of-bitcoin-be-between-94000-96000-on-january-7,https://polymarket.com/event/bitcoin-price-on-january-7,2026-01-05T19:25:16.012546Z
96000.0,0.2885,0.31,0.267,0.298,2026-01-07,will-the-price-of-bitcoin-be-greater-than-96000-on-january-7,https://polymarket.com/event/bitcoin-price-on-january-7,2026-01-05T19:22:08.406363Z
102000.0,0.066,0.074,0.058,0.074,2026-01-11,bitcoin-above-102k-on-january-11,https://polymarket.com/event/bitcoin-above-on-january-11,2026-01-05T19:24:20.4197Z
104000.0,0.07,0.08,0.06,0.08,2026-01-12,will-bitcoin-reach-104k-january-5-11,https://polymarket.com/event/what-price-will-bitcoin-hit-january-5-11,2026-01-05T19:23:18.610639Z
106000.0,0.0445,0.055,0.034,0.054,2026-01-12,will-bitcoin-reach-106k-january-5-11,https://polymarket.com/event/what-price-will-bitcoin-hit-january-5-11,2026-01-05T19:24:46.89089Z
40000.0,0.002,0.003,0.001,0.003,2026-02-01,will-bitcoin-dip-to-40k-in-january-2026,https://polymarket.com/event/what-price-will-bitcoin-hit-in-january-2026,2026-01-05T19:29:02.683553Z
50000.0,0.0035,0.004,0.003,0.003,2026-02-01,will-bitcoin-dip-to-50k-in-january-2026,https://polymarket.com/event/what-price-will-bitcoin-hit-in-january-2026,2026-01-05T19:25:14.175039Z
60000.0,0.009000000000000001,0.01,0.008,0.011,2026-02-01,will-bitcoin-dip-to-60k-in-january-2026,https://polymarket.com/event/what-price-will-bitcoin-hit-in-january-2026,2026-01-05T19:24:56.512339Z
70000.0,0.024,0.025,0.023,0.025,2026-02-01,will-bitcoin-dip-to-70k-in-january-2026,https://polymarket.com/event/what-price-will-bitcoin-hit-in-january-2026,2026-01-05T19:24:20.250667Z
85000.0,0.26,0.27,0.25,0.27,2026-02-01,will-bitcoin-dip-to-85k-in-january-2026,https://polymarket.com/event/what-price-will-bitcoin-hit-in-january-2026,2026-01-05T19:28:50.389364Z
95000.0,0.925,0.93,0.92,0.91,2026-02-01,will-bitcoin-reach-95k-in-january-2026,https://polymarket.com/event/what-price-will-bitcoin-hit-in-january-2026,2026-01-05T19:22:55.94134Z
105000.0,0.28,0.29,0.27,0.3,2026-02-01,will-bitcoin-reach-105k-in-january-2026,https://polymarket.com/event/what-price-will-bitcoin-hit-in-january-2026,2026-01-05T19:22:55.52108Z
115000.0,0.0665,0.072,0.061,0.062,2026-02-01,will-bitcoin-reach-115k-in-january-2026,https://polymarket.com/event/what-price-will-bitcoin-hit-in-january-2026,2026-01-05T19:23:08.945682Z
